category,sub-category,crimeaditionalinfo
Online Financial Fraud,Fraud CallVishing,I have received a call on my mobile phone from  The caller called me by my name and poised as my friend He said that one of his friend is sending money to him but unable to send so I can receive that money on my phone pay account and send whenever it will be possible He send me a link on phone pay claiming two rupees and asked for clicking on the link for verification I have not clicked the link but I am afraid of the incident because he has a lot of information about me like my friends name my address location and about my family As per phone pay his name was showing Sabir Hasan and phone pay Id was liccardpayma Please do the needful before he causes harm to me or my relatives
Any Other Cyber Crime,Other,"I ordered dress on th January  online shopping wwwdressupharcom so its used and torn product delivered today th January  we have contacted customer care number  Raju Kumar he said that due to technical issue 
unable to refund"
Online Financial Fraud,Fraud CallVishing,I had mailed several times to CPThane regarding this matter even called the concerned police officer but they are not supporting me They are not replying to my calls and messages Kindly help me get my money back CPTHANE is only replying that they are working on this case and will inform me if they get any update but neither they are working on this case nor replying to me Even Delhi police and Kolkata police are not helping me I have sent a copy of my complaint to each one of them mentioning every minute details about where how when the incident had happened but of no use I have lost a total of Rs  I want justice Those fraudsters duped me of giving my money back in the name of  IGMS services
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Sir I want to inform You that on  Feb  a transaction of  two times  was debited from my account whose transaction number  at darjling atm WDD sir I beg to inform you that this transaction was neither carried by me in any physical  condition nor sharing any OTP or password
Any Other Cyber Crime,Other,I am having another mobile number which is using by my wife G Vijaya My wife using mobile no is  From many days she is getting calls to her mobile from the same number which she is using right now  We are getting calls from  and it seems somebody doing this calls using internet apps I checked with Air tell office and they advised us to made a online police complaint also So we requesting you to look in to this issue and trace the person making this calls
Online and Social Media Related Crime,FakeImpersonating Profile,The person is using my Instagram profile picture for hisher fake Instagram profile The person is also following many of my common accounts and I have no idea what heshe is up to I messaged the profile to delete the account and my friends are constantly reporting the account I got to know about the fake account when one of my seniors sent me a screenshot of the profile stating that the account is active and contacting my known ones
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife  a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,UPI Related Frauds,"
FRAUD THROUGH UPI FRAUD PHONE PE
BANK STATE BANK OF INDIA
ACCOUNT NUMBER  
TOTAL AMOUNT  

PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Sexually Obscene material,Sexually Obscene material,"In twitter we have seen illegally publishing and transmitting sexual photocopy of girls In twitter they is big group transmitting girls photo Most of them are affected by this group
Help this stop this in social media"
Online Financial Fraud,Fraud CallVishing,"                                   
      no                 
Please help me       "
Online Financial Fraud,Internet Banking Related Fraud,                                          
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI FRAUDPHONE PE
BANK NAME BANK OF BARODA
ACCOUNT NO 
TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife  a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
